Kernel,Par-Time,Total-time,Alpha,Util,S2,S4,S8,S12,S16,S20,S24
Gemm,234.72,234.84,0.0005109862,0.3215,1.87,3.7365155131,5.6357091433,7.5100735529,6.9029982363,7.6321091973,5.1074380165
Lud,7.53,7.6,0.0092105263,0.5225,1.95,2.5,5.1700680272,6.08,6.2295081967,7.949790795,8.5778781038
Bfs,0.27965,2.107,0.8672757475,0.2675,1.0482587065,1.0805128205,1.1420054201,1.1837078652,1.1937677054,1.2394117647,1.1576923077
Srad,4.615,5.63,0.1802841918,0.32325,1.6461988304,2.5022222222,3.4539877301,3.8827586207,3.51875,3.8827586207,3.5408805031
Backprop,4.68003,9.017,0.4809770434,0.355,1.27,1.3861644889,1.4830592105,1.3872307692,1.3872307692,1.3893682589,1.3787461774
Lavamd,44.8,45.01,0.0046656299,0.51,1.9210413999,3.5440944882,6.7078986587,9.5158562368,10.2528473804,12.3653846154,13.7225609756
Nw,11.873,15.25,0.221442623,0.3925,1.549796748,2.117761422,2.652173913,3.0439121756,3.190376569,3.2515991471,3.2585470085
kmeans,22.35,24.52,0.0884991843,0.675,1.4272409779,2.171833481,2.6365591398,2.7274749722,3.0346534653,3.188556567,3.2519893899
Path Finder,20.94,36.236,0.422121647,0.3475,1.3920860546,1.7454720617,1.9757906216,2.011993337,2.0825287356,2.0518686297,2.0472316384
B+tree,3.57,6.4,0.4421875,0.84,1,1.0031347962,1.0406504065,1.0047095761,0.9891808346,1,0.992248062
Heartwall,102.95,103.045,0.0009219273,0.6625,1.9646329838,3.8235621521,6.5466963151,8.1073957514,8.3100806452,9.0549209139,9.2004464286
Hotspot,0.277,5.205,0.9467819404,0.6625,1.0957894737,1.100422833,1.0579268293,1.093487395,1.1464757709,1.0731958763,1.0889121339
